#include https://arxiv.org/pdf/2206.15471.pdf
#T/Tc  g^2(2piT) kappa_left kappa_right
1.1 2.531728409908125 1.91 5.4
1.2 2.4419360856535244 1.5 3.4
1.2 2.4419360856535244 2.1 3.5
1.5 2.240855319037219 1.5 2.8
1.5 2.240855319037219 1.3 2.8
1.5 2.240855319037219 1.31 3.64
1.5 2.240855319037219 2.31 3.70
1.5 2.240855319037219 1.8 3.4
2.0 2.0293103990378727 1.0 2.5
2.0 2.0293103990378727 1.0 2.3
2.5 1.8927160627155895 0.9 2.1
3.0 1.7949354430942113 0.8 1.8
3.0 1.7949354430942113 0.63 2.2
3.5 1.7203076291037833 0.75 1.5
6.0 1.504168086701906 0.43 1.05
10. 1.3460997096034064 0 0.72
10000. 0.5690185471362948 0 0.10
